,date,nav
0,01-06-2026,192.31950
1,31-05-2026,193.68360
2,29-05-2026,193.68480
3,27-05-2026,195.05010
4,26-05-2026,194.22580
5,25-05-2026,193.55990
6,22-05-2026,192.12270
7,21-05-2026,191.75750
8,20-05-2026,189.86610
9,19-05-2026,189.55530
10,18-05-2026,187.91260
11,15-05-2026,190.24050
12,14-05-2026,189.93450
13,13-05-2026,190.46400
14,12-05-2026,190.61520
15,11-05-2026,195.58600
16,08-05-2026,196.88210
17,07-05-2026,197.47530
18,06-05-2026,196.00360
19,05-05-2026,194.56180
20,04-05-2026,195.44690
21,30-04-2026,193.41310
22,29-04-2026,194.15230
23,28-04-2026,193.48430
24,27-04-2026,193.83170
25,24-04-2026,191.04250
26,23-04-2026,193.03170
27,22-04-2026,194.19280
28,21-04-2026,192.63970
29,20-04-2026,191.05830
30,17-04-2026,190.52420
31,16-04-2026,188.33160
32,15-04-2026,187.27860
33,13-04-2026,184.34910
34,10-04-2026,184.69670
35,09-04-2026,181.24550
36,08-04-2026,180.57830
37,07-04-2026,174.83420
38,06-04-2026,174.91510
39,02-04-2026,173.84710
40,01-04-2026,173.78200
41,31-03-2026,169.37060
42,30-03-2026,169.37080
43,27-03-2026,172.47390
44,25-03-2026,175.42110
45,24-03-2026,172.00490
46,23-03-2026,169.10910
47,20-03-2026,174.62050
48,19-03-2026,173.90040
49,18-03-2026,177.49080
50,17-03-2026,174.06280
51,16-03-2026,173.81980
52,13-03-2026,173.97540
53,12-03-2026,177.98880
54,11-03-2026,178.38910
55,10-03-2026,178.84190
56,09-03-2026,175.77420
57,06-03-2026,178.97840
58,05-03-2026,179.32390
59,04-03-2026,177.99610
60,02-03-2026,181.31750
61,28-02-2026,184.75790
62,27-02-2026,184.75810
63,26-02-2026,186.09500
64,25-02-2026,186.04880
65,24-02-2026,186.20800
66,23-02-2026,187.57210
67,20-02-2026,186.22280
68,19-02-2026,186.66660
69,18-02-2026,188.21280
70,17-02-2026,187.64370
71,16-02-2026,185.84710
72,13-02-2026,187.23600
73,12-02-2026,189.60290
74,11-02-2026,189.74640
75,10-02-2026,189.01900
76,09-02-2026,188.46900
77,06-02-2026,184.62700
78,05-02-2026,185.69490
79,04-02-2026,186.77740
80,03-02-2026,186.70090
81,02-02-2026,180.54240
82,31-01-2026,183.30100
83,30-01-2026,183.30210
84,29-01-2026,179.94080
85,28-01-2026,181.08730
86,27-01-2026,179.55150
87,23-01-2026,179.80350
88,22-01-2026,182.75440
89,21-01-2026,181.53250
90,20-01-2026,181.83500
91,19-01-2026,185.40420
92,16-01-2026,186.97190
93,14-01-2026,187.33750
94,13-01-2026,187.65940
95,12-01-2026,186.18370
96,09-01-2026,187.09710
97,08-01-2026,190.16000
98,07-01-2026,193.31730
99,06-01-2026,193.70270
100,05-01-2026,194.37860
101,02-01-2026,194.57400
102,01-01-2026,193.64170
103,31-12-2025,193.77240
104,30-12-2025,191.95010
105,29-12-2025,192.54100
106,26-12-2025,192.59130
107,24-12-2025,193.28480
108,23-12-2025,193.26520
109,22-12-2025,192.25730
110,19-12-2025,191.11570
111,18-12-2025,189.54200
112,17-12-2025,190.06210
113,16-12-2025,191.31430
114,15-12-2025,193.13250
115,12-12-2025,192.33770
116,11-12-2025,191.49520
117,10-12-2025,191.25570
118,09-12-2025,191.35730
119,08-12-2025,190.15910
120,05-12-2025,193.14510
121,04-12-2025,193.45990
122,03-12-2025,194.33550
123,02-12-2025,194.43120
